"","ID","B05001_001E","B05001_002E","B05001_003E","B05001_004E","B05001_005E","noncit","GEO_ID","NAME"
"79","25025061000",3224,2296,176,23,273,456,"1400000US25025061000","Census Tract 610, Suffolk County, Massachusetts"
"80","25025061101",2299,1465,87,29,459,259,"1400000US25025061101","Census Tract 611.01, Suffolk County, Massachusetts"
"81","25025061201",1723,1453,28,1,141,100,"1400000US25025061201","Census Tract 612.01, Suffolk County, Massachusetts"
"82","25025061202",0,0,0,0,0,0,"1400000US25025061202","Census Tract 612.02, Suffolk County, Massachusetts"
"83","25025061203",1978,1746,0,14,101,117,"1400000US25025061203","Census Tract 612.03, Suffolk County, Massachusetts"
"84","25025061204",1123,727,0,62,81,253,"1400000US25025061204","Census Tract 612.04, Suffolk County, Massachusetts"
"85","25025070102",2794,1654,45,26,548,521,"1400000US25025070102","Census Tract 701.02, Suffolk County, Massachusetts"
"86","25025070103",559,429,0,26,76,28,"1400000US25025070103","Census Tract 701.03, Suffolk County, Massachusetts"
"87","25025070104",2204,1297,0,44,336,527,"1400000US25025070104","Census Tract 701.04, Suffolk County, Massachusetts"
"88","25025070201",3198,2011,0,58,717,412,"1400000US25025070201","Census Tract 702.01, Suffolk County, Massachusetts"
"89","25025070202",3727,1493,0,11,1004,1219,"1400000US25025070202","Census Tract 702.02, Suffolk County, Massachusetts"
"90","25025070301",2769,2278,0,16,260,215,"1400000US25025070301","Census Tract 703.01, Suffolk County, Massachusetts"
"91","25025070302",2051,1465,0,0,308,278,"1400000US25025070302","Census Tract 703.02, Suffolk County, Massachusetts"
"92","25025070402",2782,1538,12,31,735,466,"1400000US25025070402","Census Tract 704.02, Suffolk County, Massachusetts"
"93","25025070501",1785,1469,37,11,174,94,"1400000US25025070501","Census Tract 705.01, Suffolk County, Massachusetts"
"94","25025070502",4299,2404,425,27,910,533,"1400000US25025070502","Census Tract 705.02, Suffolk County, Massachusetts"
"95","25025070600",2520,2233,1,97,150,39,"1400000US25025070600","Census Tract 706, Suffolk County, Massachusetts"
"96","25025070700",2609,1986,61,23,261,278,"1400000US25025070700","Census Tract 707, Suffolk County, Massachusetts"
"97","25025070801",1020,877,0,7,120,16,"1400000US25025070801","Census Tract 708.01, Suffolk County, Massachusetts"
"98","25025070802",2558,2100,16,5,144,293,"1400000US25025070802","Census Tract 708.02, Suffolk County, Massachusetts"
"99","25025070901",1350,630,179,57,324,160,"1400000US25025070901","Census Tract 709.01, Suffolk County, Massachusetts"
"100","25025070902",1802,1436,47,17,211,91,"1400000US25025070902","Census Tract 709.02, Suffolk County, Massachusetts"
"101","25025071101",4092,2714,104,63,727,484,"1400000US25025071101","Census Tract 711.01, Suffolk County, Massachusetts"
"102","25025071201",4082,2496,232,15,931,408,"1400000US25025071201","Census Tract 712.01, Suffolk County, Massachusetts"
"103","25025080100",2800,1851,72,47,464,366,"1400000US25025080100","Census Tract 801, Suffolk County, Massachusetts"
"104","25025080300",2200,1730,15,12,328,115,"1400000US25025080300","Census Tract 803, Suffolk County, Massachusetts"
"105","25025080401",2914,1744,431,109,347,283,"1400000US25025080401","Census Tract 804.01, Suffolk County, Massachusetts"
"106","25025080500",3455,2190,97,44,743,381,"1400000US25025080500","Census Tract 805, Suffolk County, Massachusetts"
"107","25025080601",3908,2758,182,156,428,384,"1400000US25025080601","Census Tract 806.01, Suffolk County, Massachusetts"
"108","25025080801",4860,3532,332,52,298,646,"1400000US25025080801","Census Tract 808.01, Suffolk County, Massachusetts"
"109","25025080900",3432,2491,34,203,189,515,"1400000US25025080900","Census Tract 809, Suffolk County, Massachusetts"
"110","25025081001",5140,3104,94,144,1031,767,"1400000US25025081001","Census Tract 810.01, Suffolk County, Massachusetts"
"111","25025081101",1231,867,91,0,129,144,"1400000US25025081101","Census Tract 811.01, Suffolk County, Massachusetts"
"112","25025081102",2948,1659,3,71,566,649,"1400000US25025081102","Census Tract 811.02, Suffolk County, Massachusetts"
"113","25025081200",3997,2027,206,242,997,525,"1400000US25025081200","Census Tract 812, Suffolk County, Massachusetts"
"114","25025081301",2398,1284,177,15,571,351,"1400000US25025081301","Census Tract 813.01, Suffolk County, Massachusetts"
"115","25025081302",2320,1692,153,0,213,262,"1400000US25025081302","Census Tract 813.02, Suffolk County, Massachusetts"
"116","25025081400",2997,2492,106,51,141,207,"1400000US25025081400","Census Tract 814, Suffolk County, Massachusetts"
"117","25025081500",2963,2243,93,148,252,227,"1400000US25025081500","Census Tract 815, Suffolk County, Massachusetts"
"118","25025081700",4238,2828,91,96,891,332,"1400000US25025081700","Census Tract 817, Suffolk County, Massachusetts"
"119","25025081800",3133,2187,226,61,427,232,"1400000US25025081800","Census Tract 818, Suffolk County, Massachusetts"
"120","25025081900",3388,2162,102,25,661,438,"1400000US25025081900","Census Tract 819, Suffolk County, Massachusetts"
"121","25025082000",3708,2894,147,0,449,218,"1400000US25025082000","Census Tract 820, Suffolk County, Massachusetts"
"122","25025082100",5420,2667,672,84,927,1070,"1400000US25025082100","Census Tract 821, Suffolk County, Massachusetts"
"123","25025090100",5290,3011,170,130,989,990,"1400000US25025090100","Census Tract 901, Suffolk County, Massachusetts"
"124","25025090200",2411,1415,228,0,438,330,"1400000US25025090200","Census Tract 902, Suffolk County, Massachusetts"
"125","25025090300",3071,1598,156,46,520,751,"1400000US25025090300","Census Tract 903, Suffolk County, Massachusetts"
"126","25025090400",4415,2564,239,15,809,788,"1400000US25025090400","Census Tract 904, Suffolk County, Massachusetts"
"127","25025090600",2627,1378,51,19,534,645,"1400000US25025090600","Census Tract 906, Suffolk County, Massachusetts"
"128","25025090700",4058,2821,75,75,827,260,"1400000US25025090700","Census Tract 907, Suffolk County, Massachusetts"
"129","25025090901",3219,1421,179,17,375,1227,"1400000US25025090901","Census Tract 909.01, Suffolk County, Massachusetts"
"130","25025091001",2772,2005,12,108,431,216,"1400000US25025091001","Census Tract 910.01, Suffolk County, Massachusetts"
"131","25025091100",4931,3205,105,163,1041,417,"1400000US25025091100","Census Tract 911, Suffolk County, Massachusetts"
"132","25025091200",3200,2212,8,0,603,377,"1400000US25025091200","Census Tract 912, Suffolk County, Massachusetts"
"133","25025091300",2759,1521,62,81,629,466,"1400000US25025091300","Census Tract 913, Suffolk County, Massachusetts"
"134","25025091400",3337,1990,138,34,765,410,"1400000US25025091400","Census Tract 914, Suffolk County, Massachusetts"
"135","25025091500",4752,2212,233,111,1110,1086,"1400000US25025091500","Census Tract 915, Suffolk County, Massachusetts"
"136","25025091600",2837,1360,104,8,555,810,"1400000US25025091600","Census Tract 916, Suffolk County, Massachusetts"
"137","25025091700",3532,1876,64,98,676,818,"1400000US25025091700","Census Tract 917, Suffolk County, Massachusetts"
"138","25025091800",3582,1495,3,168,979,937,"1400000US25025091800","Census Tract 918, Suffolk County, Massachusetts"
"139","25025091900",4549,2722,98,67,1018,644,"1400000US25025091900","Census Tract 919, Suffolk County, Massachusetts"
"140","25025092000",5902,3326,67,177,1277,1055,"1400000US25025092000","Census Tract 920, Suffolk County, Massachusetts"
"141","25025092101",7036,3948,289,146,1549,1104,"1400000US25025092101","Census Tract 921.01, Suffolk County, Massachusetts"
"142","25025092200",3482,2063,37,152,838,392,"1400000US25025092200","Census Tract 922, Suffolk County, Massachusetts"
"143","25025092300",3559,2215,48,108,671,517,"1400000US25025092300","Census Tract 923, Suffolk County, Massachusetts"
"144","25025092400",6389,4052,349,87,866,1035,"1400000US25025092400","Census Tract 924, Suffolk County, Massachusetts"
"145","25025100100",7024,4393,341,56,1296,938,"1400000US25025100100","Census Tract 1001, Suffolk County, Massachusetts"
"146","25025100200",3783,2483,73,25,774,428,"1400000US25025100200","Census Tract 1002, Suffolk County, Massachusetts"
"147","25025100300",4270,2808,15,94,821,532,"1400000US25025100300","Census Tract 1003, Suffolk County, Massachusetts"
"148","25025100400",5807,3453,195,31,1702,426,"1400000US25025100400","Census Tract 1004, Suffolk County, Massachusetts"
"149","25025100500",6934,4450,18,80,1224,1162,"1400000US25025100500","Census Tract 1005, Suffolk County, Massachusetts"
"150","25025100601",6131,4062,0,114,1249,706,"1400000US25025100601","Census Tract 1006.01, Suffolk County, Massachusetts"
"151","25025100603",2051,1613,35,3,234,166,"1400000US25025100603","Census Tract 1006.03, Suffolk County, Massachusetts"
"152","25025100700",4743,4126,9,25,469,114,"1400000US25025100700","Census Tract 1007, Suffolk County, Massachusetts"
"153","25025100800",6269,5184,0,116,428,541,"1400000US25025100800","Census Tract 1008, Suffolk County, Massachusetts"
"154","25025100900",4697,3417,160,44,685,391,"1400000US25025100900","Census Tract 1009, Suffolk County, Massachusetts"
"155","25025101001",6763,3765,544,34,1508,912,"1400000US25025101001","Census Tract 1010.01, Suffolk County, Massachusetts"
"156","25025101002",6127,4032,53,0,1173,869,"1400000US25025101002","Census Tract 1010.02, Suffolk County, Massachusetts"
"157","25025101101",3741,2338,7,9,778,609,"1400000US25025101101","Census Tract 1011.01, Suffolk County, Massachusetts"
"158","25025101102",5380,3109,31,0,1271,969,"1400000US25025101102","Census Tract 1011.02, Suffolk County, Massachusetts"
"159","25025110104",2178,1075,0,0,648,455,"1400000US25025110104","Census Tract 1101.04, Suffolk County, Massachusetts"
"160","25025110105",2934,2534,0,73,212,115,"1400000US25025110105","Census Tract 1101.05, Suffolk County, Massachusetts"
"161","25025110106",1851,1328,0,25,186,312,"1400000US25025110106","Census Tract 1101.06, Suffolk County, Massachusetts"
